Date,Pays,SKU,Marque,Produit,Categorie,Unites,CA_EUR,Ads_EUR
2026-02-01,Espagne,SKU-NIK-2535,Nike,Air Max 270,Chaussures,8,696,59.44
2026-03-19,Belgique,SKU-ADI-5557,Adidas,Superstar,Chaussures,1,85,13.29
2026-02-13,Italie,SKU-NIK-6881,Nike,Air Force 1,Chaussures,9,801,115.81
2026-02-28,France,SKU-PUM-6925,Puma,Future Rider,Chaussures,18,1080,238.68
2026-01-06,France,SKU-APP-8428,Apple,iPhone 16 Pro,Électronique,8,3088,446.59
2026-02-15,Espagne,SKU-PUM-5010,Puma,RS-X,Chaussures,7,413,70.54
2026-02-04,Italie,SKU-ADI-1525,Adidas,Samba,Chaussures,18,2646,314.71
2026-01-09,Espagne,SKU-PUM-8517,Puma,Clyde,,7,539,79.37
2026-02-01,Allemagne,SKU-ADI-3266,Adidas,Gazelle,Chaussures,18,1674,236.94
2026-01-07,France,SKU-APP-7304,Apple,iPad Air,Électronique,4,4176,757.48
2026-02-02,Belgique,SKU-SAM-6573,Samsung,Galaxy Tab S10,Électronique,18,17064,3543.33
2026-01-21,Italie,SKU-NIK-2743,Nike,Dunk Low,Chaussures,15,1050,174.62
2026-02-17,Allemagne,SKU-PUM-2832,Puma,RS-X,Chaussures,6,300,48.92
2026-01-08,Allemagne,SKU-PUM-9727,Puma,Future Rider,Chaussures,8,480,104.99
2026-03-12,Italie,SKU-ADI-4295,Adidas,Superstar,Chaussures,6,762,181.29
2026-02-26,Espagne,SKU-PUM-4770,Puma,Clyde,Chaussures,17,1377,189.3
2026-01-10,France,SKU-APP-4899,Apple,iPhone 16 Pro,Électronique,2,1712,157.58
2026-03-11,Allemagne,SKU-PUM-4119,Puma,Clyde,Chaussures,5,550,119.5
2026-02-15,Italie,SKU-NIK-6559,Nike,Air Max 270,Chaussures,14,1708,154.24
2026-01-25,Allemagne,SKU-NIK-2235,Nike,Air Force 1,Chaussures,18,2286,362.67
2026-03-25,France,SKU-SAM-4502,Samsung,Galaxy S25,Électronique,18,7560,1228.95
2026-02-18,Allemagne,SKU-SAM-8973,Samsung,Galaxy S25,Électronique,1,542,107.54
2026-01-28,Espagne,SKU-ADI-8811,Adidas,Superstar,Chaussures,2,258,23.15
2026-03-07,,SKU-APP-5033,Apple,iPhone 16 Pro,Électronique,3,1983,294.76
2026-01-11,Belgique,SKU-APP-4346,Apple,iPhone 16,Électronique,14,11578,2765.98
2026-02-20,Espagne,SKU-PUM-2188,Puma,RS-X,Chaussures,5,440,104.69
2026-03-14,Belgique,SKU-NIK-6718,Nike,Pegasus 41,Chaussures,4,316,32.4
2026-02-06,Espagne,SKU-NIK-5905,Nike,Air Force 1,Chaussures,6,756,61.49
2026-01-15,Espagne,SKU-NIK-4335,Nike,Air Force 1,Chaussures,4,560,113.12
2026-01-07,Espagne,SKU-PUM-3143,Puma,Clyde,Chaussures,3,255,34.86
2026-03-12,Italie,SKU-PUM-7049,Puma,RS-X,Chaussures,14,896,154.78
2026-01-17,Italie,SKU-APP-5088,Apple,iPhone 16 Pro,Électronique,2,1824,211.06
2026-02-22,Belgique,SKU-NIK-1406,Nike,Dunk Low,Chaussures,20,1780,409.12
2026-03-27,Italie,SKU-ADI-4644,Adidas,Gazelle,Chaussures,8,640,144.61
2026-02-09,Espagne,SKU-ADI-2137,Adidas,Samba,Chaussures,8,504,64.19
2026-02-21,Belgique,SKU-PUM-5349,Puma,Future Rider,Chaussures,18,1152,127.13
2026-02-25,Belgique,SKU-NIK-4114,Nike,Air Max 270,Chaussures,12,1320,192.04
2026-01-01,Italie,SKU-PUM-6409,Puma,Suede Classic,Chaussures,17,1275,117.17
2026-02-08,France,SKU-APP-3085,Apple,AirPods Pro,Électronique,17,17068,3388.43
2026-03-28,Italie,SKU-ADI-4443,Adidas,Samba,Chaussures,6,792,104.27
2026-02-26,Italie,SKU-SAM-5649,Samsung,Galaxy A56,Électronique,15,11010,2113.97
